model,skip,horizon,predicted_S,onset_S
lti,2,3,3,2
lti,3,4,4,6
lti,4,5,5,
lti,5,6,6,
lti,6,7,7,
lti,9,8,8,
lti,11,7,7,
lti,12,8,8,
lti,13,5,5,32
lti,16,7,7,
selective,2,3,3,2
selective,3,4,4,8
selective,4,5,5,
selective,5,6,6,
selective,6,7,7,
selective,9,8,8,
selective,11,7,7,
selective,12,8,8,
selective,13,5,5,64
selective,16,7,7,
oracle,2,3,3,4
oracle,3,4,4,4
oracle,4,5,5,6
oracle,5,6,6,6
oracle,6,7,7,8
oracle,9,8,8,8
oracle,11,7,7,8
oracle,12,8,8,8
oracle,13,5,5,6
oracle,16,7,7,8
