k,S,rel_l2_error
4,2,0.8361928674542859
4,4,0.10036450150058711
4,6,0.06182970345412502
4,8,0.026926670187351457
4,10,0.016142441272443964
4,12,0.011494323479657207
4,14,0.00777068557000494
4,16,0.005846606936447365
4,18,0.003308212216527118
4,20,0.0038427719329936464
4,22,0.0042860517447719316
4,24,0.003055633378821554
4,26,0.002644681428024376
4,28,0.0022032170981298106
4,30,0.002895652368750185
4,32,0.0026248432486470352
4,40,0.0018709775823113446
4,48,0.0012063081523164174
4,56,0.0017559603938906655
4,64,0.0015405809404761015
8,2,0.9291435702123354
8,4,0.8332205855073188
8,6,0.6244685774778441
8,8,0.07019704041240973
8,10,0.04948115214120373
8,12,0.03405586703052419
8,14,0.03001685582613078
8,16,0.017203173210291304
8,18,0.01680500618962972
8,20,0.008522153220025747
8,22,0.01050961419948876
8,24,0.008824474138407597
8,26,0.010799238849745511
8,28,0.0043975783089289025
8,30,0.007101209322812649
8,32,0.0037710422991527174
8,40,0.00370061887361298
8,48,0.0018840428084542864
8,56,0.0020160808129714974
8,64,0.002100849495780841
12,2,0.9545506930310727
12,4,0.8999771525873814
12,6,0.7855789413243048
12,8,0.6708194958304176
12,10,0.5176252235719796
12,12,0.06139967026839909
12,14,0.04452432549329573
12,16,0.03685881704091678
12,18,0.0338900642090308
12,20,0.03441255804317497
12,22,0.02556760482441083
12,24,0.022909002372582032
12,26,0.02204487904909242
12,28,0.009928069352306985
12,30,0.013746239762853244
12,32,0.011514976949634409
12,40,0.007795203888969073
12,48,0.004676199812937985
12,56,0.0037968603592666264
12,64,0.0034040411827674835
16,2,0.9663921086873352
16,4,0.9288712452420016
16,6,0.8477853773357514
16,8,0.7740695567111615
16,10,0.6887549736964929
16,12,0.586319150608211
16,14,0.4514768486233937
16,16,0.05193775763573996
16,18,0.04967455599384358
16,20,0.03879112511881501
16,22,0.03453229831921011
16,24,0.031093848963021694
16,26,0.0322410756723148
16,28,0.023705012547051117
16,30,0.030375854427249698
16,32,0.022114156378296303
16,40,0.015577946721726492
16,48,0.011899301059187895
16,56,0.009884923675986803
16,64,0.007657073119846028
