model,k,thr,hankel_S,empirical_S,ratio
lti,3,0.95,3,12,4.0
lti,4,0.95,4,12,3.0
lti,5,0.95,5,24,4.8
lti,6,0.95,6,24,4.0
lti,8,0.95,8,24,3.0
lti,10,0.95,10,24,2.4
lti,12,0.95,12,48,4.0
lti,14,0.95,14,64,4.571428571428571
lti,16,0.95,16,64,4.0
selective,3,0.95,3,12,4.0
selective,4,0.95,4,12,3.0
selective,5,0.95,5,24,4.8
selective,6,0.95,6,24,4.0
selective,8,0.95,8,24,3.0
selective,10,0.95,10,32,3.2
selective,12,0.95,12,32,2.6666666666666665
selective,14,0.95,14,48,3.4285714285714284
selective,16,0.95,16,,
